,YYYYMM,Description,Quantity,Demand Pattern,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,product_cluster
0,201001, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic,2,0,0,0,0,0
1,201005, 4 PURPLE FLOCK DINNER CANDLES,12,Erratic,12,0,0,0,0,0
2,201012, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic,0,2,0,0,0,0
3,201101, 4 PURPLE FLOCK DINNER CANDLES,4,Erratic,4,0,0,0,0,0
4,201102, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic,1,0,0,0,1,0
5,201104, 4 PURPLE FLOCK DINNER CANDLES,8,Erratic,8,0,0,0,0,0
6,201105, 4 PURPLE FLOCK DINNER CANDLES,16,Erratic,16,0,0,0,0,0
7,201106, 4 PURPLE FLOCK DINNER CANDLES,7,Erratic,7,0,0,0,0,0
8,201107, 4 PURPLE FLOCK DINNER CANDLES,26,Erratic,26,0,0,0,0,0
9,201108, 4 PURPLE FLOCK DINNER CANDLES,18,Erratic,16,2,0,0,0,0
10,201109, 4 PURPLE FLOCK DINNER CANDLES,4,Erratic,4,0,0,0,0,0
11,201110, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic,2,0,0,0,0,0
12,201111, 4 PURPLE FLOCK DINNER CANDLES,41,Erratic,35,0,0,0,6,0
13,201101, 50'S CHRISTMAS GIFT BAG LARGE,60,Lumpy,60,0,0,0,0,1
14,201102, 50'S CHRISTMAS GIFT BAG LARGE,25,Lumpy,24,1,0,0,0,1
15,201103, 50'S CHRISTMAS GIFT BAG LARGE,20,Lumpy,20,0,0,0,0,1
16,201104, 50'S CHRISTMAS GIFT BAG LARGE,38,Lumpy,38,0,0,0,0,1
17,201105, 50'S CHRISTMAS GIFT BAG LARGE,455,Lumpy,51,4,0,0,400,1
18,201106, 50'S CHRISTMAS GIFT BAG LARGE,101,Lumpy,99,2,0,0,0,1
19,201107, 50'S CHRISTMAS GIFT BAG LARGE,41,Lumpy,40,1,0,0,0,1
20,201108, 50'S CHRISTMAS GIFT BAG LARGE,94,Lumpy,90,4,0,0,0,1
21,201109, 50'S CHRISTMAS GIFT BAG LARGE,303,Lumpy,251,4,0,0,48,1
22,201110, 50'S CHRISTMAS GIFT BAG LARGE,497,Lumpy,493,4,0,0,0,1
23,201111, 50'S CHRISTMAS GIFT BAG LARGE,255,Lumpy,245,10,0,0,0,1
24,201112, 50'S CHRISTMAS GIFT BAG LARGE,24,Lumpy,24,0,0,0,0,1
25,201101, DOLLY GIRL BEAKER,20,Lumpy,18,2,0,0,0,1
26,201102, DOLLY GIRL BEAKER,43,Lumpy,40,3,0,0,0,1
27,201103, DOLLY GIRL BEAKER,55,Lumpy,52,3,0,0,0,1
28,201104, DOLLY GIRL BEAKER,86,Lumpy,74,0,0,0,12,1
29,201105, DOLLY GIRL BEAKER,22,Lumpy,17,5,0,0,0,1
30,201106, DOLLY GIRL BEAKER,44,Lumpy,43,1,0,0,0,1
31,201107, DOLLY GIRL BEAKER,121,Lumpy,114,6,0,0,1,1
32,201108, DOLLY GIRL BEAKER,452,Lumpy,233,7,0,0,212,1
33,201109, DOLLY GIRL BEAKER,527,Lumpy,107,7,401,0,12,1
34,201110, DOLLY GIRL BEAKER,478,Lumpy,60,6,400,0,12,1
35,201111, DOLLY GIRL BEAKER,363,Lumpy,147,16,200,0,0,1
36,201112, DOLLY GIRL BEAKER,237,Lumpy,36,1,200,0,0,1
37,201101, I LOVE LONDON MINI BACKPACK,1,Lumpy,1,0,0,0,0,0
38,201103, I LOVE LONDON MINI BACKPACK,7,Lumpy,7,0,0,0,0,0
39,201104, I LOVE LONDON MINI BACKPACK,3,Lumpy,3,0,0,0,0,0
40,201105, I LOVE LONDON MINI BACKPACK,16,Lumpy,16,0,0,0,0,0
41,201106, I LOVE LONDON MINI BACKPACK,8,Lumpy,8,0,0,0,0,0
42,201107, I LOVE LONDON MINI BACKPACK,11,Lumpy,9,2,0,0,0,0
43,201108, I LOVE LONDON MINI BACKPACK,12,Lumpy,4,8,0,0,0,0
44,201109, I LOVE LONDON MINI BACKPACK,155,Lumpy,82,3,50,0,20,0
45,201110, I LOVE LONDON MINI BACKPACK,83,Lumpy,26,7,50,0,0,0
46,201111, I LOVE LONDON MINI BACKPACK,89,Lumpy,79,9,0,0,1,0
47,201112, I LOVE LONDON MINI BACKPACK,4,Lumpy,4,0,0,0,0,0
48,201106, I LOVE LONDON MINI RUCKSACK,1,,0,0,1,0,0,0
49,201101, NINE DRAWER OFFICE TIDY,1,Lumpy,1,0,0,0,0,0
50,201102, NINE DRAWER OFFICE TIDY,1,Lumpy,1,0,0,0,0,0
51,201103, NINE DRAWER OFFICE TIDY,2,Lumpy,0,2,0,0,0,0
52,201104, NINE DRAWER OFFICE TIDY,2,Lumpy,2,0,0,0,0,0
53,201105, NINE DRAWER OFFICE TIDY,10,Lumpy,9,1,0,0,0,0
54,201106, NINE DRAWER OFFICE TIDY,4,Lumpy,4,0,0,0,0,0
55,201107, NINE DRAWER OFFICE TIDY,1,Lumpy,1,0,0,0,0,0
56,201109, NINE DRAWER OFFICE TIDY,1,Lumpy,1,0,0,0,0,0
57,201110, NINE DRAWER OFFICE TIDY,21,Lumpy,20,1,0,0,0,0
58,201111, NINE DRAWER OFFICE TIDY,15,Lumpy,13,0,0,0,2,0
