,YYYYMM,Description,Quantity,Demand Pattern
0,2010-01, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic
1,2010-05, 4 PURPLE FLOCK DINNER CANDLES,12,Erratic
2,2010-12, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic
3,2011-01, 4 PURPLE FLOCK DINNER CANDLES,4,Erratic
4,2011-02, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic
5,2011-04, 4 PURPLE FLOCK DINNER CANDLES,8,Erratic
6,2011-05, 4 PURPLE FLOCK DINNER CANDLES,16,Erratic
7,2011-06, 4 PURPLE FLOCK DINNER CANDLES,7,Erratic
8,2011-07, 4 PURPLE FLOCK DINNER CANDLES,26,Erratic
9,2011-08, 4 PURPLE FLOCK DINNER CANDLES,18,Erratic
10,2011-09, 4 PURPLE FLOCK DINNER CANDLES,4,Erratic
11,2011-10, 4 PURPLE FLOCK DINNER CANDLES,2,Erratic
12,2011-11, 4 PURPLE FLOCK DINNER CANDLES,41,Erratic
13,2011-01, 50'S CHRISTMAS GIFT BAG LARGE,60,Lumpy
14,2011-02, 50'S CHRISTMAS GIFT BAG LARGE,25,Lumpy
15,2011-03, 50'S CHRISTMAS GIFT BAG LARGE,20,Lumpy
16,2011-04, 50'S CHRISTMAS GIFT BAG LARGE,38,Lumpy
17,2011-05, 50'S CHRISTMAS GIFT BAG LARGE,455,Lumpy
18,2011-06, 50'S CHRISTMAS GIFT BAG LARGE,101,Lumpy
19,2011-07, 50'S CHRISTMAS GIFT BAG LARGE,41,Lumpy
20,2011-08, 50'S CHRISTMAS GIFT BAG LARGE,94,Lumpy
21,2011-09, 50'S CHRISTMAS GIFT BAG LARGE,303,Lumpy
22,2011-10, 50'S CHRISTMAS GIFT BAG LARGE,497,Lumpy
23,2011-11, 50'S CHRISTMAS GIFT BAG LARGE,255,Lumpy
24,2011-12, 50'S CHRISTMAS GIFT BAG LARGE,24,Lumpy
25,2011-01, DOLLY GIRL BEAKER,20,Lumpy
26,2011-02, DOLLY GIRL BEAKER,43,Lumpy
27,2011-03, DOLLY GIRL BEAKER,55,Lumpy
28,2011-04, DOLLY GIRL BEAKER,86,Lumpy
29,2011-05, DOLLY GIRL BEAKER,22,Lumpy
30,2011-06, DOLLY GIRL BEAKER,44,Lumpy
31,2011-07, DOLLY GIRL BEAKER,121,Lumpy
32,2011-08, DOLLY GIRL BEAKER,452,Lumpy
33,2011-09, DOLLY GIRL BEAKER,527,Lumpy
34,2011-10, DOLLY GIRL BEAKER,478,Lumpy
35,2011-11, DOLLY GIRL BEAKER,363,Lumpy
36,2011-12, DOLLY GIRL BEAKER,237,Lumpy
37,2011-01, I LOVE LONDON MINI BACKPACK,1,Lumpy
38,2011-03, I LOVE LONDON MINI BACKPACK,7,Lumpy
39,2011-04, I LOVE LONDON MINI BACKPACK,3,Lumpy
40,2011-05, I LOVE LONDON MINI BACKPACK,16,Lumpy
41,2011-06, I LOVE LONDON MINI BACKPACK,8,Lumpy
42,2011-07, I LOVE LONDON MINI BACKPACK,11,Lumpy
43,2011-08, I LOVE LONDON MINI BACKPACK,12,Lumpy
44,2011-09, I LOVE LONDON MINI BACKPACK,155,Lumpy
45,2011-10, I LOVE LONDON MINI BACKPACK,83,Lumpy
46,2011-11, I LOVE LONDON MINI BACKPACK,89,Lumpy
47,2011-12, I LOVE LONDON MINI BACKPACK,4,Lumpy
48,2011-06, I LOVE LONDON MINI RUCKSACK,1,
49,2011-01, NINE DRAWER OFFICE TIDY,1,Lumpy
50,2011-02, NINE DRAWER OFFICE TIDY,1,Lumpy
51,2011-03, NINE DRAWER OFFICE TIDY,2,Lumpy
52,2011-04, NINE DRAWER OFFICE TIDY,2,Lumpy
53,2011-05, NINE DRAWER OFFICE TIDY,10,Lumpy
54,2011-06, NINE DRAWER OFFICE TIDY,4,Lumpy
55,2011-07, NINE DRAWER OFFICE TIDY,1,Lumpy
56,2011-09, NINE DRAWER OFFICE TIDY,1,Lumpy
57,2011-10, NINE DRAWER OFFICE TIDY,21,Lumpy
58,2011-11, NINE DRAWER OFFICE TIDY,15,Lumpy
59,2011-12, NINE DRAWER OFFICE TIDY,1,Lumpy
