YYYYMM,Description,Quantity,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,Erratic,Intermittent,Lumpy,Smooth,Quantity_bf1mm,0_cluster_bf1mm,1_cluster_bf1mm,2_cluster_bf1mm,3_cluster_bf1mm,4_cluster_bf1mm,predict_Quantity
2011-11-01, 4 PURPLE FLOCK DINNER CANDLES,41,11,0,0,0,1,1,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,8.0
2011-12-01, 50'S CHRISTMAS GIFT BAG LARGE,24,2,0,0,0,0,0,0,1,0,255.0,18.0,7.0,0.0,0.0,0.0,183.0
2011-12-01, DOLLY GIRL BEAKER,237,3,1,1,0,0,0,0,1,0,363.0,22.0,13.0,1.0,0.0,0.0,484.0
2011-12-01, I LOVE LONDON MINI BACKPACK,4,1,0,0,0,0,0,0,1,0,89.0,15.0,7.0,0.0,0.0,1.0,80.0
2011-12-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,15.0,7.0,0.0,0.0,0.0,1.0,4.0
2011-12-01, OVAL WALL MIRROR DIAMANTE ,2,0,2,0,0,0,0,0,1,0,24.0,8.0,8.0,0.0,0.0,0.0,14.0
2011-12-01, RED SPOT GIFT BAG LARGE,27,2,1,0,0,0,0,0,1,0,261.0,18.0,2.0,0.0,0.0,0.0,266.0
2011-12-01, SET 2 TEA TOWELS I LOVE LONDON ,61,7,0,0,0,0,0,0,1,0,37.0,6.0,2.0,0.0,0.0,0.0,24.0
2011-12-01, SPACEBOY BABY GIFT SET,18,6,1,1,0,0,0,0,1,0,61.0,12.0,11.0,1.0,0.0,2.0,58.0
2011-12-01, TRELLIS COAT RACK,7,2,0,0,0,0,0,0,1,0,24.0,8.0,2.0,0.0,0.0,1.0,42.0
2011-12-01,10 COLOUR SPACEBOY PEN,385,4,2,1,0,0,0,0,1,0,1051.0,33.0,10.0,1.0,0.0,1.0,633.0
2011-12-01,12 COLOURED PARTY BALLOONS,55,5,1,0,0,0,0,0,1,0,286.0,21.0,1.0,0.0,0.0,2.0,144.0
2011-12-01,12 DAISY PEGS IN WOOD BOX,13,1,1,0,0,0,1,0,0,0,10.0,3.0,0.0,0.0,0.0,0.0,22.0
2011-12-01,12 EGG HOUSE PAINTED WOOD,6,0,2,0,0,1,0,0,1,0,16.0,2.0,2.0,0.0,0.0,3.0,11.0
2011-12-01,12 IVORY ROSE PEG PLACE SETTINGS,65,4,3,0,0,0,1,0,0,0,22.0,3.0,0.0,0.0,0.0,1.0,9.0
2011-12-01,12 MESSAGE CARDS WITH ENVELOPES,55,5,3,0,0,0,0,0,1,0,213.0,33.0,4.0,0.0,0.0,1.0,113.0
2011-12-01,12 PENCIL SMALL TUBE WOODLAND,81,5,1,0,0,0,0,0,1,0,1307.0,63.0,20.0,1.0,0.0,5.0,480.0
2011-12-01,12 PENCILS SMALL TUBE RED RETROSPOT,52,3,0,0,0,0,0,0,1,0,1015.0,56.0,2.0,0.0,0.0,2.0,749.0
