YYYYMM,Description,Quantity,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,Erratic,Intermittent,Lumpy,Smooth,predict_Quantity,real_Quantity
2010-01-01, 4 PURPLE FLOCK DINNER CANDLES,2,1,0,0,0,0,1,0,0,0,,
2010-05-01, 4 PURPLE FLOCK DINNER CANDLES,12,1,0,0,0,0,1,0,0,0,,
2010-12-01, 4 PURPLE FLOCK DINNER CANDLES,2,0,1,0,0,0,1,0,0,0,,
2011-01-01, 4 PURPLE FLOCK DINNER CANDLES,4,2,0,0,0,0,1,0,0,0,,
2011-02-01, 4 PURPLE FLOCK DINNER CANDLES,2,1,0,0,0,1,1,0,0,0,,
2011-04-01, 4 PURPLE FLOCK DINNER CANDLES,8,4,0,0,0,0,1,0,0,0,,
2011-05-01, 4 PURPLE FLOCK DINNER CANDLES,16,4,0,0,0,0,1,0,0,0,,
2011-06-01, 4 PURPLE FLOCK DINNER CANDLES,7,3,0,0,0,0,1,0,0,0,,
2011-07-01, 4 PURPLE FLOCK DINNER CANDLES,26,3,0,0,0,0,1,0,0,0,,
2011-08-01, 4 PURPLE FLOCK DINNER CANDLES,18,4,1,0,0,0,1,0,0,0,,
2011-09-01, 4 PURPLE FLOCK DINNER CANDLES,4,1,0,0,0,0,1,0,0,0,,
2011-10-01, 4 PURPLE FLOCK DINNER CANDLES,2,2,0,0,0,0,1,0,0,0,,
2011-11-01, 4 PURPLE FLOCK DINNER CANDLES,41,11,0,0,0,1,1,0,0,0,2.0,41.0
2011-01-01, 50'S CHRISTMAS GIFT BAG LARGE,60,5,0,0,0,0,0,0,1,0,,
2011-02-01, 50'S CHRISTMAS GIFT BAG LARGE,25,1,1,0,0,0,0,0,1,0,,
2011-03-01, 50'S CHRISTMAS GIFT BAG LARGE,20,1,0,0,0,0,0,0,1,0,,
2011-04-01, 50'S CHRISTMAS GIFT BAG LARGE,38,4,0,0,0,0,0,0,1,0,,
2011-05-01, 50'S CHRISTMAS GIFT BAG LARGE,455,4,2,0,0,1,0,0,1,0,,
2011-06-01, 50'S CHRISTMAS GIFT BAG LARGE,101,6,1,0,0,0,0,0,1,0,,
2011-07-01, 50'S CHRISTMAS GIFT BAG LARGE,41,4,1,0,0,0,0,0,1,0,,
2011-08-01, 50'S CHRISTMAS GIFT BAG LARGE,94,6,3,0,0,0,0,0,1,0,,
2011-09-01, 50'S CHRISTMAS GIFT BAG LARGE,303,17,3,0,0,1,0,0,1,0,,
2011-10-01, 50'S CHRISTMAS GIFT BAG LARGE,497,40,2,0,0,0,0,0,1,0,,
2011-11-01, 50'S CHRISTMAS GIFT BAG LARGE,255,18,7,0,0,0,0,0,1,0,,
2011-12-01, 50'S CHRISTMAS GIFT BAG LARGE,24,2,0,0,0,0,0,0,1,0,195.0,24.0
2011-01-01, DOLLY GIRL BEAKER,20,3,1,0,0,0,0,0,1,0,,
2011-02-01, DOLLY GIRL BEAKER,43,4,3,0,0,0,0,0,1,0,,
2011-03-01, DOLLY GIRL BEAKER,55,6,2,0,0,0,0,0,1,0,,
2011-04-01, DOLLY GIRL BEAKER,86,7,0,0,0,1,0,0,1,0,,
2011-05-01, DOLLY GIRL BEAKER,22,4,4,0,0,0,0,0,1,0,,
2011-06-01, DOLLY GIRL BEAKER,44,7,1,0,0,0,0,0,1,0,,
2011-07-01, DOLLY GIRL BEAKER,121,13,3,0,0,1,0,0,1,0,,
2011-08-01, DOLLY GIRL BEAKER,452,30,6,0,0,2,0,0,1,0,,
2011-09-01, DOLLY GIRL BEAKER,527,17,4,2,0,1,0,0,1,0,,
2011-10-01, DOLLY GIRL BEAKER,478,13,3,1,0,1,0,0,1,0,,
2011-11-01, DOLLY GIRL BEAKER,363,22,13,1,0,0,0,0,1,0,,
2011-12-01, DOLLY GIRL BEAKER,237,3,1,1,0,0,0,0,1,0,399.0,237.0
2011-01-01, I LOVE LONDON MINI BACKPACK,1,1,0,0,0,0,0,0,1,0,,
2011-03-01, I LOVE LONDON MINI BACKPACK,7,2,0,0,0,0,0,0,1,0,,
2011-04-01, I LOVE LONDON MINI BACKPACK,3,1,0,0,0,0,0,0,1,0,,
2011-05-01, I LOVE LONDON MINI BACKPACK,16,5,0,0,0,0,0,0,1,0,,
2011-06-01, I LOVE LONDON MINI BACKPACK,8,4,0,0,0,0,0,0,1,0,,
2011-07-01, I LOVE LONDON MINI BACKPACK,11,3,1,0,0,0,0,0,1,0,,
2011-08-01, I LOVE LONDON MINI BACKPACK,12,1,4,0,0,0,0,0,1,0,,
2011-09-01, I LOVE LONDON MINI BACKPACK,155,24,2,1,0,2,0,0,1,0,,
2011-10-01, I LOVE LONDON MINI BACKPACK,83,8,4,1,0,0,0,0,1,0,,
2011-11-01, I LOVE LONDON MINI BACKPACK,89,15,7,0,0,1,0,0,1,0,,
2011-12-01, I LOVE LONDON MINI BACKPACK,4,1,0,0,0,0,0,0,1,0,55.0,4.0
2011-01-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,,
2011-02-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,,
2011-03-01, NINE DRAWER OFFICE TIDY,2,0,1,0,0,0,0,0,1,0,,
2011-04-01, NINE DRAWER OFFICE TIDY,2,1,0,0,0,0,0,0,1,0,,
2011-05-01, NINE DRAWER OFFICE TIDY,10,5,1,0,0,0,0,0,1,0,,
2011-06-01, NINE DRAWER OFFICE TIDY,4,2,0,0,0,0,0,0,1,0,,
2011-07-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,,
2011-09-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,,
2011-10-01, NINE DRAWER OFFICE TIDY,21,10,1,0,0,0,0,0,1,0,,
2011-11-01, NINE DRAWER OFFICE TIDY,15,7,0,0,0,1,0,0,1,0,,
2011-12-01, NINE DRAWER OFFICE TIDY,1,1,0,0,0,0,0,0,1,0,6.0,1.0
2010-03-01, OVAL WALL MIRROR DIAMANTE ,1,0,1,0,0,0,0,0,1,0,,
2010-06-01, OVAL WALL MIRROR DIAMANTE ,1,0,1,0,0,0,0,0,1,0,,
2010-08-01, OVAL WALL MIRROR DIAMANTE ,1,1,0,0,0,0,0,0,1,0,,
2010-09-01, OVAL WALL MIRROR DIAMANTE ,3,0,2,0,0,0,0,0,1,0,,
2010-12-01, OVAL WALL MIRROR DIAMANTE ,16,3,8,0,0,0,0,0,1,0,,
2011-01-01, OVAL WALL MIRROR DIAMANTE ,26,5,7,0,0,2,0,0,1,0,,
2011-02-01, OVAL WALL MIRROR DIAMANTE ,15,3,10,0,0,0,0,0,1,0,,
2011-03-01, OVAL WALL MIRROR DIAMANTE ,13,1,9,0,0,0,0,0,1,0,,
2011-04-01, OVAL WALL MIRROR DIAMANTE ,48,6,11,0,0,1,0,0,1,0,,
2011-05-01, OVAL WALL MIRROR DIAMANTE ,17,9,4,0,0,0,0,0,1,0,,
2011-06-01, OVAL WALL MIRROR DIAMANTE ,15,11,8,0,0,0,0,0,1,0,,
2011-07-01, OVAL WALL MIRROR DIAMANTE ,16,7,6,0,0,0,0,0,1,0,,
2011-08-01, OVAL WALL MIRROR DIAMANTE ,5,1,4,0,0,0,0,0,1,0,,
2011-09-01, OVAL WALL MIRROR DIAMANTE ,14,4,7,0,0,0,0,0,1,0,,
2011-10-01, OVAL WALL MIRROR DIAMANTE ,16,2,10,0,0,0,0,0,1,0,,
2011-11-01, OVAL WALL MIRROR DIAMANTE ,24,8,8,0,0,0,0,0,1,0,,
2011-12-01, OVAL WALL MIRROR DIAMANTE ,2,0,2,0,0,0,0,0,1,0,1.0,2.0
2011-01-01, RED SPOT GIFT BAG LARGE,44,3,0,0,0,0,0,0,1,0,,
2011-02-01, RED SPOT GIFT BAG LARGE,46,2,1,0,0,0,0,0,1,0,,
2011-03-01, RED SPOT GIFT BAG LARGE,84,4,0,0,0,0,0,0,1,0,,
2011-04-01, RED SPOT GIFT BAG LARGE,28,6,0,0,0,0,0,0,1,0,,
2011-05-01, RED SPOT GIFT BAG LARGE,462,5,1,0,0,1,0,0,1,0,,
2011-06-01, RED SPOT GIFT BAG LARGE,6,1,0,0,0,0,0,0,1,0,,
2011-07-01, RED SPOT GIFT BAG LARGE,30,2,1,0,0,0,0,0,1,0,,
2011-08-01, RED SPOT GIFT BAG LARGE,72,8,2,0,0,0,0,0,1,0,,
2011-09-01, RED SPOT GIFT BAG LARGE,326,18,2,0,0,1,0,0,1,0,,
2011-10-01, RED SPOT GIFT BAG LARGE,341,23,1,0,0,0,0,0,1,0,,
2011-11-01, RED SPOT GIFT BAG LARGE,261,18,2,0,0,0,0,0,1,0,,
2011-12-01, RED SPOT GIFT BAG LARGE,27,2,1,0,0,0,0,0,1,0,6.0,27.0
2010-01-01, SET 2 TEA TOWELS I LOVE LONDON ,73,12,3,0,0,0,0,0,1,0,,
2010-02-01, SET 2 TEA TOWELS I LOVE LONDON ,2,2,0,0,0,0,0,0,1,0,,
2010-03-01, SET 2 TEA TOWELS I LOVE LONDON ,8,1,1,0,0,0,0,0,1,0,,
2010-05-01, SET 2 TEA TOWELS I LOVE LONDON ,22,3,0,0,0,0,0,0,1,0,,
2010-06-01, SET 2 TEA TOWELS I LOVE LONDON ,36,5,2,0,0,0,0,0,1,0,,
2010-07-01, SET 2 TEA TOWELS I LOVE LONDON ,25,3,3,0,0,0,0,0,1,0,,
2010-08-01, SET 2 TEA TOWELS I LOVE LONDON ,39,8,0,0,0,0,0,0,1,0,,
2010-09-01, SET 2 TEA TOWELS I LOVE LONDON ,19,3,2,0,0,0,0,0,1,0,,
2010-10-01, SET 2 TEA TOWELS I LOVE LONDON ,7,2,0,0,0,0,0,0,1,0,,
2010-12-01, SET 2 TEA TOWELS I LOVE LONDON ,105,13,18,0,0,0,0,0,1,0,,
2011-01-01, SET 2 TEA TOWELS I LOVE LONDON ,406,21,8,0,0,0,0,0,1,0,,
2011-02-01, SET 2 TEA TOWELS I LOVE LONDON ,123,17,6,0,0,1,0,0,1,0,,
2011-03-01, SET 2 TEA TOWELS I LOVE LONDON ,1167,28,7,0,0,1,0,0,1,0,,
2011-04-01, SET 2 TEA TOWELS I LOVE LONDON ,289,30,8,0,0,0,0,0,1,0,,
2011-05-01, SET 2 TEA TOWELS I LOVE LONDON ,218,19,5,0,0,0,0,0,1,0,,
2011-06-01, SET 2 TEA TOWELS I LOVE LONDON ,37,5,0,0,0,0,0,0,1,0,,
2011-07-01, SET 2 TEA TOWELS I LOVE LONDON ,61,11,1,0,0,0,0,0,1,0,,
2011-08-01, SET 2 TEA TOWELS I LOVE LONDON ,20,4,2,0,0,0,0,0,1,0,,
